time_boot_ms,time_boot_s,state
515350,515.35,2
516690,516.69,2
518010,518.01,2
519350,519.35,2
520690,520.69,2
522010,522.01,2
523350,523.35,2
524680,524.68,2
526040,526.04,2
527360,527.36,2
528690,528.69,2
531400,531.4,2
532950,532.95,2
534310,534.31,2
535650,535.65,2
537010,537.01,2
538320,538.32,2
539680,539.68,2
541040,541.04,2
542370,542.37,2
543690,543.69,2
545070,545.07,2
546410,546.41,2
547730,547.73,2
549110,549.11,2
550440,550.44,2
551800,551.8,2
553130,553.13,2
554450,554.45,2
555780,555.78,2
557100,557.1,2
558430,558.43,2
559760,559.76,2
561070,561.07,2
562410,562.41,2
563760,563.76,2
565070,565.07,2
566430,566.43,2
567740,567.74,2
569090,569.09,2
570440,570.44,2
571760,571.76,2
573080,573.08,2
574420,574.42,2
575740,575.74,2
577100,577.1,2
578440,578.44,2
579780,579.78,2
582520,582.52,2
583840,583.84,2
585190,585.19,2
586770,586.77,2
588090,588.09,2
589430,589.43,2
590760,590.76,2
592120,592.12,2
593450,593.45,2
594770,594.77,2
596140,596.14,2
597460,597.46,2
598780,598.78,2
600180,600.18,2
601590,601.59,2
603010,603.01,2
604330,604.33,2
605670,605.67,2
607020,607.02,2
608360,608.36,2
609680,609.68,2
611040,611.04,2
612380,612.38,2
613700,613.7,2
615040,615.04,2
617830,617.83,2
619140,619.14,2
620500,620.5,2
621850,621.85,2
623160,623.16,2
624490,624.49,2
625850,625.85,2
627170,627.17,2
628540,628.54,2
629900,629.9,2
631220,631.22,2
632550,632.55,2
633890,633.89,2
635230,635.23,2
637950,637.95,2
639330,639.33,2
640640,640.64,2
642190,642.19,2
643550,643.55,2
644870,644.87,2
646220,646.22,2
647560,647.56,2
648900,648.9,2
650240,650.24,2
651580,651.58,2
652920,652.92,2
654270,654.27,2
655580,655.58,2
656940,656.94,2
658250,658.25,2
659570,659.57,2
660920,660.92,2
662240,662.24,2
663590,663.59,2
664940,664.94,2
666270,666.27,2
667630,667.63,2
668960,668.96,2
670290,670.29,2
671640,671.64,2
672970,672.97,2
674290,674.29,2
675660,675.66,2
676970,676.97,2
678320,678.32,2
679640,679.64,2
681000,681,2
682350,682.35,2
683690,683.69,2
685060,685.06,2
686370,686.37,2
687700,687.7,2
689060,689.06,2
690400,690.4,2
691740,691.74,2
693080,693.08,2
694430,694.43,2
695770,695.77,2
697280,697.28,2
698620,698.62,2
699990,699.99,2
701320,701.32,2
704050,704.05,2
705380,705.38,2
706730,706.73,2
708050,708.05,2
709390,709.39,2
710770,710.77,2
712100,712.1,2
713490,713.49,2
714810,714.81,2
716140,716.14,2
717530,717.53,2
718840,718.84,2
720210,720.21,2
721540,721.54,2
722880,722.88,2
724230,724.23,2
725550,725.55,2
726900,726.9,2
728250,728.25,2
729570,729.57,2
730950,730.95,2
732280,732.28,2
733600,733.6,2
734990,734.99,2
736310,736.31,2
737670,737.67,2
739020,739.02,2
740350,740.35,2
741700,741.7,2
743040,743.04,2
744380,744.38,2
745690,745.69,2
747020,747.02,2
748390,748.39,2
749700,749.7,2
751040,751.04,2
752630,752.63,2
753950,753.95,2
755300,755.3,2
756640,756.64,2
757960,757.96,2
759300,759.3,2
760640,760.64,2
762010,762.01,2
763350,763.35,2
764680,764.68,2
766040,766.04,2
767380,767.38,2
768740,768.74,2
770070,770.07,2
771400,771.4,2
772760,772.76,2
774080,774.08,2
775390,775.39,2
776750,776.75,2
778090,778.09,2
779460,779.46,2
780790,780.79,2
782130,782.13,2
783500,783.5,2
784810,784.81,2
786170,786.17,2
787510,787.51,2
788860,788.86,2
790220,790.22,2
791540,791.54,2
792910,792.91,2
794250,794.25,2
795590,795.59,2
796940,796.94,2
798280,798.28,2
799630,799.63,2
800970,800.97,2
802280,802.28,2
803630,803.63,2
804940,804.94,2
806310,806.31,2
807870,807.87,2
809200,809.2,2
810550,810.55,2
811880,811.88,2
813240,813.24,2
814580,814.58,2
815910,815.91,2
817280,817.28,2
818590,818.59,2
819950,819.95,2
821290,821.29,2
822610,822.61,2
823950,823.95,2
825290,825.29,2
826640,826.64,2
827980,827.98,2
829310,829.31,2
830690,830.69,2
832030,832.03,2
833370,833.37,2
834710,834.71,2
836060,836.06,2
837420,837.42,2
838730,838.73,2
840110,840.11,2
841490,841.49,2
842850,842.85,2
844230,844.23,2
845620,845.62,2
847030,847.03,2
848370,848.37,2
869450,869.45,2
870770,870.77,2
872190,872.19,2
874060,874.06,2
875620,875.62,2
877190,877.19,2
878580,878.58,2
880190,880.19,2
881750,881.75,2
884650,884.65,2
886080,886.08,2
887490,887.49,2
889090,889.09,2
890640,890.64,2
892230,892.23,2
893630,893.63,2
895250,895.25,2
896640,896.64,2
898120,898.12,2
899530,899.53,2
900920,900.92,2
902400,902.4,2
903820,903.82,2
905280,905.28,2
906600,906.6,2
907940,907.94,2
909280,909.28,2
910620,910.62,2
911930,911.93,2
913290,913.29,2
914620,914.62,2
916180,916.18,2
917700,917.7,2
919190,919.19,2
920620,920.62,2
922220,922.22,2
924950,924.95,2
926340,926.34,2
927740,927.74,2
929220,929.22,2
930670,930.67,2
932010,932.01,2
933460,933.46,2
934830,934.83,2
936140,936.14,2
937510,937.51,2
938850,938.85,2
940220,940.22,2
941530,941.53,2
942860,942.86,2
944220,944.22,2
949760,949.76,2
951150,951.15,2
953950,953.95,2
959610,959.61,2
