time_boot_ms,state
515350,2
516690,2
518010,2
519350,2
520690,2
522010,2
523350,2
524680,2
526040,2
527360,2
528690,2
531400,2
532950,2
534310,2
535650,2
537010,2
538320,2
539680,2
541040,2
542370,2
543690,2
545070,2
546410,2
547730,2
549110,2
550440,2
551800,2
553130,2
554450,2
555780,2
557100,2
558430,2
559760,2
561070,2
562410,2
563760,2
565070,2
566430,2
567740,2
569090,2
570440,2
571760,2
573080,2
574420,2
575740,2
577100,2
578440,2
579780,2
582520,2
583840,2
585190,2
586770,2
588090,2
589430,2
590760,2
592120,2
593450,2
594770,2
596140,2
597460,2
598780,2
600180,2
601590,2
603010,2
604330,2
605670,2
607020,2
608360,2
609680,2
611040,2
612380,2
613700,2
615040,2
617830,2
619140,2
620500,2
621850,2
623160,2
624490,2
625850,2
627170,2
628540,2
629900,2
631220,2
632550,2
633890,2
635230,2
637950,2
639330,2
640640,2
642190,2
643550,2
644870,2
646220,2
647560,2
648900,2
650240,2
651580,2
652920,2
654270,2
655580,2
656940,2
658250,2
659570,2
660920,2
662240,2
663590,2
664940,2
666270,2
667630,2
668960,2
670290,2
671640,2
672970,2
674290,2
675660,2
676970,2
678320,2
679640,2
681000,2
682350,2
683690,2
685060,2
686370,2
687700,2
689060,2
690400,2
691740,2
693080,2
694430,2
695770,2
697280,2
698620,2
699990,2
701320,2
704050,2
705380,2
706730,2
708050,2
709390,2
710770,2
712100,2
713490,2
714810,2
716140,2
717530,2
718840,2
720210,2
721540,2
722880,2
724230,2
725550,2
726900,2
728250,2
729570,2
730950,2
732280,2
733600,2
734990,2
736310,2
737670,2
739020,2
740350,2
741700,2
743040,2
744380,2
745690,2
747020,2
748390,2
749700,2
751040,2
752630,2
753950,2
755300,2
756640,2
757960,2
759300,2
760640,2
762010,2
763350,2
764680,2
766040,2
767380,2
768740,2
770070,2
771400,2
772760,2
774080,2
775390,2
776750,2
778090,2
779460,2
780790,2
782130,2
783500,2
784810,2
786170,2
787510,2
788860,2
790220,2
791540,2
792910,2
794250,2
795590,2
796940,2
798280,2
799630,2
800970,2
802280,2
803630,2
804940,2
806310,2
807870,2
809200,2
810550,2
811880,2
813240,2
814580,2
815910,2
817280,2
818590,2
819950,2
821290,2
822610,2
823950,2
825290,2
826640,2
827980,2
829310,2
830690,2
832030,2
833370,2
834710,2
836060,2
837420,2
838730,2
840110,2
841490,2
842850,2
844230,2
845620,2
847030,2
848370,2
